# Ambiente de execução
# Linux cibsnotebook 7.2.6-arch2-1 #1 SMP PREEMPT_DYNAMIC Mon, 14 Sep 2026 22:41:30 +0000 x86_64 GNU/Linux
# Compilador: gcc (GCC) 16.2.1 20260810
# CPU: Intel(R) Core(TM) 7 240H
# CPUs lógicas: 16
# Governador: performance
# Repetições por config: 5

bloco,politica,chunk,threads,largura,altura,max_iter,rep,tempo_calculo,fator_balanceamento
strong,static,NA,1,4096,4096,1000,1,5.574221,1.0000
strong,static,NA,1,4096,4096,1000,2,5.567760,1.0000
strong,static,NA,1,4096,4096,1000,3,5.565325,1.0000
strong,static,NA,1,4096,4096,1000,4,5.566003,1.0000
strong,static,NA,1,4096,4096,1000,5,5.564146,1.0000
strong,static,1,1,4096,4096,1000,1,5.569526,1.0000
strong,static,1,1,4096,4096,1000,2,5.571136,1.0000
strong,static,1,1,4096,4096,1000,3,5.567443,1.0000
strong,static,1,1,4096,4096,1000,4,5.566710,1.0000
strong,static,1,1,4096,4096,1000,5,5.567470,1.0000
strong,static,16,1,4096,4096,1000,1,5.573762,1.0000
strong,static,16,1,4096,4096,1000,2,5.581070,1.0000
strong,static,16,1,4096,4096,1000,3,5.576554,1.0000
strong,static,16,1,4096,4096,1000,4,5.575713,1.0000
strong,static,16,1,4096,4096,1000,5,5.584884,1.0000
strong,dynamic,1,1,4096,4096,1000,1,5.666391,1.0000
strong,dynamic,1,1,4096,4096,1000,2,5.571922,1.0000
strong,dynamic,1,1,4096,4096,1000,3,5.567365,1.0000
strong,dynamic,1,1,4096,4096,1000,4,5.573539,1.0000
strong,dynamic,1,1,4096,4096,1000,5,5.570336,1.0000
strong,dynamic,16,1,4096,4096,1000,1,5.567193,1.0000
strong,dynamic,16,1,4096,4096,1000,2,5.571516,1.0000
strong,dynamic,16,1,4096,4096,1000,3,5.566274,1.0000
strong,dynamic,16,1,4096,4096,1000,4,5.563504,1.0000
strong,dynamic,16,1,4096,4096,1000,5,5.568024,1.0000
strong,guided,1,1,4096,4096,1000,1,5.570698,1.0000
strong,guided,1,1,4096,4096,1000,2,5.567763,1.0000
strong,guided,1,1,4096,4096,1000,3,5.563711,1.0000
strong,guided,1,1,4096,4096,1000,4,5.566738,1.0000
strong,guided,1,1,4096,4096,1000,5,5.565928,1.0000
strong,guided,32,1,4096,4096,1000,1,5.606445,1.0000
strong,guided,32,1,4096,4096,1000,2,5.688648,1.0000
strong,guided,32,1,4096,4096,1000,3,5.611452,1.0000
strong,guided,32,1,4096,4096,1000,4,5.599065,1.0000
strong,guided,32,1,4096,4096,1000,5,5.609370,1.0000
strong,static,NA,2,4096,4096,1000,1,2.913203,1.0174
strong,static,NA,2,4096,4096,1000,2,2.859139,1.0086
strong,static,NA,2,4096,4096,1000,3,2.871593,1.0112
strong,static,NA,2,4096,4096,1000,4,2.839556,1.0054
strong,static,NA,2,4096,4096,1000,5,2.883568,1.0136
strong,static,1,2,4096,4096,1000,1,2.887111,1.0134
strong,static,1,2,4096,4096,1000,2,2.835124,1.0052
strong,static,1,2,4096,4096,1000,3,2.912489,1.0171
strong,static,1,2,4096,4096,1000,4,2.808942,1.0003
strong,static,1,2,4096,4096,1000,5,2.805435,1.0002
strong,static,16,2,4096,4096,1000,1,2.809911,1.0003
strong,static,16,2,4096,4096,1000,2,2.803945,1.0005
strong,static,16,2,4096,4096,1000,3,2.811329,1.0005
strong,static,16,2,4096,4096,1000,4,2.807934,1.0001
strong,static,16,2,4096,4096,1000,5,2.818027,1.0007
strong,dynamic,1,2,4096,4096,1000,1,2.810496,1.0000
strong,dynamic,1,2,4096,4096,1000,2,2.805444,1.0000
strong,dynamic,1,2,4096,4096,1000,3,2.802710,1.0000
strong,dynamic,1,2,4096,4096,1000,4,2.801130,1.0000
strong,dynamic,1,2,4096,4096,1000,5,2.807960,1.0000
strong,dynamic,16,2,4096,4096,1000,1,2.805726,1.0000
strong,dynamic,16,2,4096,4096,1000,2,2.809069,1.0000
strong,dynamic,16,2,4096,4096,1000,3,2.808337,1.0000
strong,dynamic,16,2,4096,4096,1000,4,2.805465,1.0000
strong,dynamic,16,2,4096,4096,1000,5,2.807846,1.0000
strong,guided,1,2,4096,4096,1000,1,2.818803,1.0000
strong,guided,1,2,4096,4096,1000,2,2.816177,1.0001
strong,guided,1,2,4096,4096,1000,3,2.816787,1.0002
strong,guided,1,2,4096,4096,1000,4,2.825416,1.0013
strong,guided,1,2,4096,4096,1000,5,2.823037,1.0014
strong,guided,32,2,4096,4096,1000,1,2.814716,1.0006
strong,guided,32,2,4096,4096,1000,2,2.827930,1.0006
strong,guided,32,2,4096,4096,1000,3,2.820444,1.0000
strong,guided,32,2,4096,4096,1000,4,2.816669,1.0000
strong,guided,32,2,4096,4096,1000,5,2.815555,1.0000
strong,static,NA,4,4096,4096,1000,1,2.752353,1.9436
strong,static,NA,4,4096,4096,1000,2,2.748269,1.9431
strong,static,NA,4,4096,4096,1000,3,2.747734,1.9425
strong,static,NA,4,4096,4096,1000,4,2.744303,1.9434
strong,static,NA,4,4096,4096,1000,5,2.748990,1.9432
strong,static,1,4,4096,4096,1000,1,1.480604,1.0003
strong,static,1,4,4096,4096,1000,2,1.482789,1.0008
strong,static,1,4,4096,4096,1000,3,1.484673,1.0030
strong,static,1,4,4096,4096,1000,4,1.479888,1.0008
strong,static,1,4,4096,4096,1000,5,1.486371,1.0034
strong,static,16,4,4096,4096,1000,1,1.479858,1.0012
strong,static,16,4,4096,4096,1000,2,1.491831,1.0065
strong,static,16,4,4096,4096,1000,3,1.486129,1.0040
strong,static,16,4,4096,4096,1000,4,1.478284,1.0013
strong,static,16,4,4096,4096,1000,5,1.481755,1.0014
strong,dynamic,1,4,4096,4096,1000,1,1.481428,1.0000
strong,dynamic,1,4,4096,4096,1000,2,1.482721,1.0000
strong,dynamic,1,4,4096,4096,1000,3,1.483113,1.0000
strong,dynamic,1,4,4096,4096,1000,4,1.479922,1.0000
strong,dynamic,1,4,4096,4096,1000,5,1.482210,1.0000
strong,dynamic,16,4,4096,4096,1000,1,1.480916,1.0000
strong,dynamic,16,4,4096,4096,1000,2,1.483469,1.0000
strong,dynamic,16,4,4096,4096,1000,3,1.479826,1.0000
strong,dynamic,16,4,4096,4096,1000,4,1.481135,1.0000
strong,dynamic,16,4,4096,4096,1000,5,1.479373,1.0000
strong,guided,1,4,4096,4096,1000,1,2.456541,1.6908
strong,guided,1,4,4096,4096,1000,2,2.460855,1.6927
strong,guided,1,4,4096,4096,1000,3,2.459219,1.6912
strong,guided,1,4,4096,4096,1000,4,2.454448,1.6892
strong,guided,1,4,4096,4096,1000,5,2.458976,1.6917
strong,guided,32,4,4096,4096,1000,1,2.455496,1.6897
strong,guided,32,4,4096,4096,1000,2,2.459267,1.6917
strong,guided,32,4,4096,4096,1000,3,2.457871,1.6899
strong,guided,32,4,4096,4096,1000,4,2.458659,1.6911
strong,guided,32,4,4096,4096,1000,5,2.456143,1.6905
strong,static,NA,8,4096,4096,1000,1,1.947396,2.6689
strong,static,NA,8,4096,4096,1000,2,1.944082,2.6677
strong,static,NA,8,4096,4096,1000,3,1.942542,2.6684
strong,static,NA,8,4096,4096,1000,4,1.941269,2.6649
strong,static,NA,8,4096,4096,1000,5,1.948005,2.6678
strong,static,1,8,4096,4096,1000,1,0.918901,1.1429
strong,static,1,8,4096,4096,1000,2,0.917669,1.1534
strong,static,1,8,4096,4096,1000,3,0.912079,1.1487
strong,static,1,8,4096,4096,1000,4,0.911642,1.1489
strong,static,1,8,4096,4096,1000,5,0.910820,1.1473
strong,static,16,8,4096,4096,1000,1,0.916703,1.1566
strong,static,16,8,4096,4096,1000,2,0.925332,1.1648
strong,static,16,8,4096,4096,1000,3,0.928018,1.1675
strong,static,16,8,4096,4096,1000,4,0.906062,1.1380
strong,static,16,8,4096,4096,1000,5,0.919896,1.1599
strong,dynamic,1,8,4096,4096,1000,1,0.805630,1.0001
strong,dynamic,1,8,4096,4096,1000,2,0.802432,1.0000
strong,dynamic,1,8,4096,4096,1000,3,0.800238,1.0000
strong,dynamic,1,8,4096,4096,1000,4,0.802594,1.0001
strong,dynamic,1,8,4096,4096,1000,5,0.800320,1.0001
strong,dynamic,16,8,4096,4096,1000,1,0.797757,1.0003
strong,dynamic,16,8,4096,4096,1000,2,0.797969,1.0001
strong,dynamic,16,8,4096,4096,1000,3,0.798410,1.0001
strong,dynamic,16,8,4096,4096,1000,4,0.799482,1.0002
strong,dynamic,16,8,4096,4096,1000,5,0.883492,1.0009
strong,guided,1,8,4096,4096,1000,1,1.325539,1.6058
strong,guided,1,8,4096,4096,1000,2,1.304688,1.6264
strong,guided,1,8,4096,4096,1000,3,1.306301,1.6326
strong,guided,1,8,4096,4096,1000,4,1.384211,1.7494
strong,guided,1,8,4096,4096,1000,5,1.297630,1.6499
strong,guided,32,8,4096,4096,1000,1,1.295648,1.6243
strong,guided,32,8,4096,4096,1000,2,1.316546,1.6662
strong,guided,32,8,4096,4096,1000,3,1.290523,1.6049
strong,guided,32,8,4096,4096,1000,4,1.390604,1.7551
strong,guided,32,8,4096,4096,1000,5,1.289726,1.6316
strong,static,NA,16,4096,4096,1000,1,1.192082,2.9255
strong,static,NA,16,4096,4096,1000,2,1.242423,3.0959
