bloco,politica,chunk,threads,largura,altura,max_iter,tempo_media,tempo_std,fator_media,fator_std,n_reps,speedup,eficiencia
strong,dynamic,1.000000,1,4096,4096,1000,5.589911,0.042815,1.000000,0.000000,5,0.992811,0.992811
strong,dynamic,1.000000,2,4096,4096,1000,2.805548,0.003804,1.000000,0.000000,5,1.978126,0.989063
strong,dynamic,1.000000,4,4096,4096,1000,1.481879,0.001262,1.000000,0.000000,5,3.745061,0.936265
strong,dynamic,1.000000,8,4096,4096,1000,0.802243,0.002199,1.000060,0.000055,5,6.917765,0.864721
strong,dynamic,1.000000,16,4096,4096,1000,0.528747,0.008708,1.000400,0.000224,5,10.496001,0.656000
strong,dynamic,16.000000,1,4096,4096,1000,5.567302,0.002906,1.000000,0.000000,5,0.996843,0.996843
strong,dynamic,16.000000,2,4096,4096,1000,2.807289,0.001608,1.000000,0.000000,5,1.976899,0.988450
strong,dynamic,16.000000,4,4096,4096,1000,1.480944,0.001591,1.000000,0.000000,5,3.747426,0.936856
strong,dynamic,16.000000,8,4096,4096,1000,0.815422,0.038058,1.000320,0.000335,5,6.805957,0.850745
strong,dynamic,16.000000,16,4096,4096,1000,0.531396,0.008476,1.005880,0.002080,5,10.443679,0.652730
strong,guided,1.000000,1,4096,4096,1000,5.566968,0.002564,1.000000,0.000000,5,0.996903,0.996903
strong,guided,1.000000,2,4096,4096,1000,2.820044,0.004029,1.000600,0.000689,5,1.967958,0.983979
strong,guided,1.000000,4,4096,4096,1000,2.458008,0.002517,1.691120,0.001287,5,2.257815,0.564454
strong,guided,1.000000,8,4096,4096,1000,1.323674,0.035386,1.652820,0.056245,5,4.192670,0.524084
strong,guided,1.000000,16,4096,4096,1000,0.813643,0.041099,1.692040,0.093682,5,6.820836,0.426302
strong,guided,32.000000,1,4096,4096,1000,5.622996,0.036999,1.000000,0.000000,5,0.986970,0.986970
strong,guided,32.000000,2,4096,4096,1000,2.819063,0.005419,1.000240,0.000329,5,1.968643,0.984321
strong,guided,32.000000,4,4096,4096,1000,2.457487,0.001617,1.690580,0.000832,5,2.258293,0.564573
strong,guided,32.000000,8,4096,4096,1000,1.316609,0.042772,1.656420,0.059446,5,4.215166,0.526896
strong,guided,32.000000,16,4096,4096,1000,0.772662,0.019844,1.604840,0.056163,5,7.182610,0.448913
